repo,commit,file_path,language,has_defect,lines,function_count,class_count,import_count,export_count,avg_complexity,max_complexity,fan_in,fan_out,code_smell_count,has_test
"async","8fce7e1a24b8328e34232d3b685df0b7c311c12a","lib/internal/filter.js","javascript",0,44,3,0,2,1,1.33,2,4,20,0,0
"async","fb79cab9f89a99672a304c9afaa9dd8dcaa2bdb9","lib/internal/queue.js","javascript",1,245,9,0,4,1,3.44,12,23,63,3,0
"async","fb79cab9f89a99672a304c9afaa9dd8dcaa2bdb9","lib/internal/withoutIndex.js","javascript",0,4,1,0,0,1,1,1,2,1,0,0
"async","b418cb788f1a57bd34e43ac2a72768e0f3561d36","lib/reflect.js","javascript",1,60,1,0,2,1,1,1,2,8,0,0
"async","b418cb788f1a57bd34e43ac2a72768e0f3561d36","perf/benchmark.js","javascript",0,225,11,0,9,0,1.45,3,3,90,1,0
"async","267eb9cee18347871c1cb3e85fcc6f2452be65f4","lib/whilst.js","javascript",1,62,3,0,3,1,2.67,4,2,13,0,0
"async","267eb9cee18347871c1cb3e85fcc6f2452be65f4","lib/map.js","javascript",0,46,1,0,3,1,1,1,3,5,0,0
"async","59a8662da2d8a3f26e19b484627a87d45382006f","lib/priorityQueue.js","javascript",1,66,1,0,3,1,1,1,1,9,0,0
"async","59a8662da2d8a3f26e19b484627a87d45382006f","lib/eachSeries.js","javascript",0,31,1,0,2,1,1,1,2,4,0,0
"async","aa8a3ee08e0af40a0409fe287a9b3a7a51fa46d3","lib/retry.js","javascript",1,151,4,0,2,1,4,8,6,14,0,0
"async","aa8a3ee08e0af40a0409fe287a9b3a7a51fa46d3","lib/everySeries.js","javascript",0,29,1,0,3,1,1,1,1,5,0,0
"async","ec2867d3b6df6ea2e8292fa75679b15731e7d2df","lib/eachSeries.js","javascript",1,28,1,0,2,1,1,1,2,4,0,0
"async","ec2867d3b6df6ea2e8292fa75679b15731e7d2df","lib/sortBy.js","javascript",0,71,2,0,3,1,2,3,1,13,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/concatLimit.js","javascript",1,43,1,0,3,1,1,1,3,11,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/groupByLimit.js","javascript",1,55,1,0,3,1,1,1,3,12,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/internal/createTester.js","javascript",1,26,1,0,2,1,1,1,9,13,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/internal/filter.js","javascript",1,44,3,0,2,1,1.33,2,4,20,0,0
"async","a5a9f13ee024e58a3bd074f9c4e0130f0499d27b","lib/mapValuesLimit.js","javascript",1,42,1,0,4,1,1,1,3,12,0,0
